unique_identifier,text
36.1.1,"On April 20 , 1999 , 18 - year - old Eric Harris and 17 - year - old Dylan Klebold killed 12 students and a teacher in the Columbine High School massacre ."
36.2.1,The two were allegedly obsessed with the video game Doom .
36.3.1,"Harris also created WADs for the game , and created a large mod named "" Tier """
36.3.2,"he called his "" life 's work"
36.4.1,the pair practiced the massacre in Doom
37.1.1,"In April 2000 , 16 - year - old Spanish teenager José Rabadán Pardo murdered his father , mother and his sister with a katana ,"
37.1.2,"he was on an "" avenging mission "" by Squall Leonhart , the main character of the video game Final Fantasy VIII"
38.1.1,after what
38.1.2,his mother claimed
38.2.1,"Woolley's mother stated, ""I think the way the game is written is that when you first start playing it, it is fun, and you make great accomplishments."
38.3.1,"And then the further you get into it, the higher level you get, the longer you have to stay on it to move onward, and then it isn't fun anymore."
38.4.1,"But by then you're addicted, and you can't leave it."""
39.1.1,"In February 2003 , 16 - year - old American Dustin Lynch was charged with aggravated murder and made an insanity defense"
39.1.2,"he was "" obsessed "" with Grand Theft Auto III"
39.2.1,"Long time video game opponent and former attorney Jack Thompson encouraged the father of victim JoLynn Mishne to pass a note to the judge that said ""the attorneys had better tell the jury about the violent video game that trained this kid [and] showed him how to kill our daughter, JoLynn."
39.3.1,they do n't
39.4.1,"Lynch later retracted his insanity plea, and his mother Jerrilyn Thomas commented, ""It has nothing to do with video games or Paxil, and my son's no murderer."""
40.1.1,"On June 7 , 2003 , 18 - year - old American Devin Moore shot and killed two policemen and a dispatcher after"
40.1.2,grabbing one of the officers ' weapons following an arrest for the possession of a stolen vehicle
40.2.1,"At trial , the defense claimed"
40.2.2,Moore had been inspired by the video game Grand Theft Auto : Vice City
41.1.1,"On June 25 , 2003 , two American step brothers , Joshua and William Buckner , aged 14 and 16 , respectively , used a rifle to fire at vehicles on Interstate 40 in Tennessee ,"
41.1.2,killing a 45 - year - old man and wounding a 19 - year - old woman
41.2.1,they had been inspired by Grand
42.1.1,"On February 27 , 2004 in Leicester , UK , 17 - year - old Warren Leblanc lured 14 - year - old Stefan Pakeerah into a park and murdered him by"
42.1.2,stabbing him repeatedly with a claw hammer and knife
42.2.1,"Leblanc was reportedly obsessed with Manhunt ,"
42.2.2,investigation quickly revealed
42.2.3,the killer did not even own a copy of the game
42.3.1,The victim 's mother Giselle Pakeerah has been campaigning against violent video games in the UK ever since .
42.4.1,"The police investigating the case have dismissed any link ,"
42.4.2,discussed in the relevant articles
43.1.1,Qiu Chengwei stabbed 26 - year - old Zhu Caoyuan to death over a dispute regarding the sale of a virtual weapon the two
44.1.1,"On December 27, 2004, 13-year-old Xiao Yi committed suicide by jumping from a twenty-four story building in Tianjin, China, as a result of the effects of his addiction, hoping to be ""reunited"" with his fellow gamers in the afterlife, according to his suicide notes."
44.2.1,"Prior to his death , he had spent 36 consecutive hours"
44.2.2,playing Warcraft III
45.1.1,"In August 2005 , 28 - year - old South Korean Lee Seung Seop died after"
45.1.2,playing StarCraft for 50 hours straight
46.1.1,"In June 2007, 22-year-old Alejandro Garcia from Texas shot dead his cousin after arguing over whose turn it was to play the game Scarface: The World Is Yours."
46.2.1,"He pleaded guilty for murder at his trial on April 6 , 2011 , and will serve 15 to 30 years in prison ."
47.1.1,"In September 2007 , a Chinese man in Guangzhou , China , died after"
47.1.2,playing Internet video games for three consecutive days in an Internet cafe
48.1.1,"In September 2007 in Ohio, 16-year-old Daniel Petric snuck out of his bedroom window to purchase the game Halo 3 against the orders of his father, a minister at New Life Assembly of God in Wellington, Ohio, U.S. His parents eventually banned him from the game after he spent up to 18 hours a day with it, and secured it in a lockbox in a closet where the father also kept a 9mm handgun, according to prosecutors."
48.2.1,"In October 2007 , Daniel used his father 's key"
48.2.2,to open the lockbox and remove the gun and the game
48.3.1,"He then entered the living room of his house and shot both of them in the head ,"
48.3.2,killing his mother and wounding his father
48.4.1,"Petric is sentenced to life in prison without parole ,"
48.4.2,was later commuted to 23 years in imprisonment
48.5.1,Defense attorneys argued
48.5.2,Petric was influenced by video game addiction
48.6.1,he killed his parents
49.1.1,"In December 2007 , 17 - year - old Lamar Roberts and 16 - year - old Heather Trujillo were accused of"
49.1.2,beating a seven - year - old girl to death
49.2.1,They are said
49.2.2,"to have been imitating the moves taken from the game "" Mortal Kombat """
50.1.1,"In December 2007 , a Russian man was beaten to death over an argument in the MMORPG Lineage II ."
50.2.1,The man was killed
50.2.2,his guild and a rival one challenged each other to a real - life brawl
51.1.1,False reports initially claimed
51.1.2,"Seung - Hui Cho , the killer in the 2007 Virginia Tech massacre was an avid Counter-Strike player"
51.2.1,"However , police reports said"
51.2.2,roommates of Cho had never seen
51.2.3,him play any video games
51.3.1,"Despite these discoveries, disbarred attorney Jack Thompson continued to erroneously claim that video games were to blame."
52.1.1,"In June 2008 , four teens allegedly obsessed with Grand Theft Auto IV went on a crime spree after"
52.1.2,"being in New Hyde Park , New York"
52.2.1,"They first robbed a man, knocking his teeth out and then they stopped a woman driving a black BMW and stole her car and her cigarettes."
53.1.1,"On August 2 , 2008 , Polwat Chinno , a 19 - year - old Thai teenager , stabbed a Bangkok taxi driver to death during an attempt"
53.1.2,to steal the driver 's cab in order
53.1.3,to obtain money
53.1.4,to buy a copy of Grand Theft Auto IV
53.2.1,A police official said
53.2.2,the teen was trying
53.2.3,to copy a similar act in the game
53.3.1,"As a consequence , officials ordered the banning of the game itself and later the series ,"
53.3.2,"led its distributor , New Era Interactive Media ,"
53.3.3,to withdraw it
54.1.1,"On October 13 , 2008 , the disappearance of Brandon Crisp and his subsequent death involving , according to his parents , obsessive playing of Call of Duty 4 : Modern Warfare has been referenced in discussions about video game obsession and spawned a report aired by CBC 's the fifth estate on video game addiction and Brandon 's story titled "" Top Gun "" , subtitled"
54.1.2,""" When a video"
54.1.3,gaming obsession turns to addiction and tragedy
55.1.1,"In January 2010 , 9 - year - old Anthony Maldonado was stabbed by relative Alejandro Morales after an argument regarding Maldonado 's recently purchased copy of Tony Hawk : Ride and PlayStation 3 console ."
56.1.1,"In January 2010 , Gary Alcock punched , slapped and pinched his partner 's 15 - month - old daughter in the three weeks leading up to her death"
56.1.2,he delivered a fatal blow to the stomach
56.1.3,tore her internal organs
56.1.4,she interrupted him
56.1.5,playing his Xbox
56.2.1,She died from internal bleeding after
56.2.2,"suffering 35 separate injuries including multiple bruises , rib fractures and brain damage ,"
56.2.3,were comparable to injuries suffered in a car crash
56.3.1,Alcock was jailed for life and must serve at least 21 years .
57.1.1,"In May 2010 , French gamer Julien Barreaux located and stabbed a fellow player"
57.1.2,had stabbed Barreaux on the game Counter-Strike
57.2.1,The judge at his trial called him
57.2.2,""" a menace to society"
58.1.1,"On November 29 , 2010 in South Philadelphia , Pennsylvania , 16 - year - old boy Kendall Anderson bludgeoned his mother to death in her sleep with a claw hammer"
58.1.2,she took away his PlayStation
59.1.1,"On April 9 , 2011 in Alphen Aan Den Rijn , The Netherlands , 24 - year - old Tristan van der Vlis opened fire in a shopping mall ,"
59.1.2,"releasing more than a hundred bullets with a semi-automatic rifle and a handgun , killing 6 people and wounding 17 others ,"
59.1.3,after which
59.1.4,he also killed himself
59.2.1,"A fair amount of attention was given to the fact that Van Der Vlis had been playing Call of Duty: Modern Warfare 2 and to the alleged similarities between the events in Alphen a/d Rijn and the controversial ""No Russian"" mission in the game (also known as the 'Airport Massacre') where the player can choose to (or choose not to) partake in the killing of a large group of innocent people inside an airport terminal."
60.1.1,Several theoretical approaches have been applied to potential video game violence effects -LRB- or lack of effects -RRB- .
60.2.1,"These models compete ,"
60.2.2,to explain
60.2.3,video games may or may not have effects on players
61.1.1,"For example the Catalyst Model of aggression comes from a diathesis - stress perspective ,"
61.1.2,aggression is due to a combination of genetic risk and environmental strain
61.2.1,The Catalyst Model suggests
61.2.2,"stress , coupled with antisocial personalities is most salient in the creation of aggression"
61.3.1,The Catalyst Model does allow that proximal influences
61.3.2,such as
61.3.3,family or peers may influence aggressiveness
61.4.1,However the Catalyst Model specifically states
61.4.2,media influences are too weak and distant
61.4.3,to have much influence
62.1.1,"having an influence on people , proposing"
62.1.2,"a participant 's thoughts , feelings and physical arousal can be affected by simulated violence"
62.2.1,this creates an effect on an individual 's interpretation of an aggressive or violent act
63.1.1,The GAM claims
63.1.2,video games have both short - and long - term effects
63.3.1,"violent video games promote violent behavior , attitudes and beliefs by"
63.3.2,desensitizing an individual to aggression
64.1.1,"In response to concerns about video games , governments around the globe have enacted or attempted"
64.1.2,to enact legislation
64.1.3,"regulating , prohibiting , or outright banning video games"
64.2.1,"Similarly , support for video game and media regulation has been linked to moral panic ."
64.3.1,"To that end , different video game content rating systems have been introduced across the globe ."
65.1.1,Psychology professor Chris Ferguson discusses in an interview
65.1.2,these myths are perpetuated
65.2.1,"When asked to describe the nature of how negative propaganda is spread by activist against video games, Ferguson explained that many respected academics and elected officials develop apprehension towards the media in question and formulate disproportionate accusations of harm."
65.3.1,Those claims are out in the public
65.3.2,expert evidence proves
65.3.3,"them to be invalid ,"
65.3.4,it difficult
65.3.5,to withdraw from such allegations
65.4.1,Possible motivations for why activist claims are not retracted are “…there are certain financial incentives and political incentives.
65.5.1,It’s hard to get grant money arguing that something *isn’t* a problem…and some scholars take money from anti-media lobbying groups.
65.6.1,censorship regimen naturally intend
65.6.2,to be in charge of that regimen themselves ”
65.7.1,"Ferguson adds that present research on violence in video games confirms no valid link, “The best studies now coming out — those which take care to use well-validated clinical outcome measures and which carefully control for other important risk factors — provide no support for the belief that VVG contributes to youth violence”."
66.1.1,"Voluntary rating systems adopted by the video game industry, such as the ESRB rating system in the United States and Canada, as well as the Pan European Game Information (PEGI) rating system in Europe, that are aimed at informing parents about the types of games their children are playing (or are asking to play)."
66.2.1,Certain game publishers’ decision to have controversial games rated seems to show that they are not targeted at young children.
66.3.1,"They are rated by the ESRB as "" Mature "" -LRB- M -RRB- or "" Adults Only "" -LRB- AO -RRB- in the US , or given British Board of Film Classification -LRB- BBFC -RRB- ratings of 15 or 18 in the UK ."
66.4.1,The packaging notes
66.4.2,these games should not be sold to children
66.5.1,"In the US, ESRB ratings are not legally binding, but many retailers take it upon themselves to refuse the sale of these games to minors."
66.6.1,"In the United Kingdom (UK), the BBFC ratings are backed up by law, so it is actually illegal to sell the game to anyone under the indicated age, and many UK retailers go beyond that and also enforce the PEGI ratings, which are not backed up by law."
66.7.1,No video game console manufacturer has yet
66.7.2,to allow any game
66.7.3,"to be published in North America with the harshest ESRB rating , "" Adults Only "" , signaling"
66.7.4,the game is only appropriate for ages 18 years and up
66.8.1,"Additionally , no major retailers are willing"
66.8.2,to set aside shelf space for AO - rated games
66.9.1,"Although Grand Theft Auto San Andreas was given a rating of AO after widespread surfacing of an add-on originally deleted from the game, ""Hot Coffee,"" in which the player controls a fully clothed sexual encounter."
66.10.1,It was later fully removed and the game retained the M rating.
66.11.1,GTA San Andreas is the best selling game
66.11.2,to ever receive the AO rating
67.1.1,Ratings Enforcement Act introduced to the US House of Representatives in both the 109th Congress and 110th Congress
67.2.1,The proposed legislation would require an ID check for M - and AO - rated game purchases .
67.3.1,"The bill was not passed into law, and other proposed bills were stopped because of First Amendment violations."
68.1.1,"Although no law mandates ID checking for games with adult content, a 2008 secret shopper survey done by the Federal Trade Commission shows that video game retailers have voluntarily increased ID verification for M- and AO-rated games, and sales of those games to underage potential buyers have been reduced from 83% in 2000 to only 20% in 2008."
69.1.1,"In April 2011 , the Federal Trade Commission undercover shopper survey found"
69.1.2,video game retailers continue
69.1.3,to enforce the ratings by
69.1.4,allowing only 13 % of underage teenage shoppers
69.1.5,"to buy M - rated video games , a statistically significant improvement from the 20 % purchase rate in 2009"
69.2.1,"By contrast , underage shoppers purchased R - rated movies 38 % of the time , and unrated movies 47 % of the time ."
70.1.1,"On January 7 , 2009 , Representative Joe Baca of California ’s 43rd District introduced H.R."
70.3.1,This bill called for labels to be placed in a “clear and conspicuous location on the packaging” which states “WARNING: Excessive exposure to violent video games and other violent media has been linked to aggressive behaviour.” The proposed legislation mandated that all video games with an ESRB rating of T (Teen) or higher be subjected to the compulsory labelling.
70.4.1,"The press release accompanying the introduction of the bill referred to scientific studies from the Pediatrics Journal, Indiana University, University of Missouri and Michigan State University which pointed to a “neurological link between playing violent video games and aggressive behaviour in children and teenagers.” The proposed legislation was referred on to the Subcommittee on Commerce, Trade and Consumer Protection."
70.5.1,"On January 24 , 2011 ; Rep. Joe Baca reintroduced the Video Game Health Labelling Act as H.R."
70.7.1,The bill was once again passed onto the Subcommittee .
71.1.1,"On June 27 , 2011 , the Supreme Court of the United States ruled on Brown v. Entertainment Merchants Association , cited video games as protected speech under the First Amendment ."
71.2.1,The case centered on a California law
71.2.2,to restrict sales of violent video games to minors
71.3.1,"The video game industry , led by the Entertainment Merchants Association and the Entertainment Software Association successfully obtained an injunction on the bill ,"
71.3.2,definition of violence defined by the California law was too vague
71.4.1,"This opinion was upheld in lower courts , and supported by the Supreme Court 's decision ."
71.5.1,"In the decision, the Court determined that there was no direct link between violent video games and their influence on children, in as much as compared to other types of media like television and pictures, and that they could not create a new class of restricted speech that is not applied to other forms of media."
72.2.1,It has been shown
72.2.2,"action video game players have better hand - eye coordination and visuo - motor skills , such as their resistance to distraction , their sensitivity to information in the peripheral vision and their ability"
72.2.3,"to count briefly presented objects , than non-players"
73.1.1,"Video games also develop the individual 's intelligence , and in social games develop the social capabilities of the individual ."
74.1.1,Another way
74.1.2,in which
74.1.3,the usage of video games might provide a benefit
74.2.1,There is a study being conducted by Dr.Cheryl Olson and her team at Massachusetts General Hospital ’s -LRB- MGH -RRB- Center for Mental Health and Media and Harvard
74.2.2,to prove
74.2.3,violent games help
74.2.4,students deal with stress and aggression
74.3.1,She has found
74.3.2,over 49 % of boys and 25 % of girls use violent games such as Grand Theft Auto IV as an outlet for their anger
74.4.1,Dr. Olson has come to the conclusion
74.4.2,violent games affect students positively and not
74.4.3,negatively because
74.4.4,the violent crime rate is going down
74.4.5,the popularity of M - rated video games has increased
74.5.1,"She suggests that instead of stopping children from playing M-rated games completely, parents should just monitor how much time their children spend playing games; parents should take responsibility."
75.1.1,Several studies have explored the possible benefits of multiplayer video games in a family setting .
75.2.1,"The most recent study found that girls 11-16 who played video games with their parents had better mental health and less aggressive behavior, with a stronger connection if they played age-appropriate games."
76.1.1,Many studies have been done on gaming and its integration into the classroom in order
76.1.2,to support the educator
76.2.1,""" The use of gaming has the ability"
76.2.2,to actively involve students in learning
76.3.1,students build collaborative skills while
76.3.2,completing given tasks
77.1.1,"To date , video game training appears"
77.1.2,to be one of the more interesting and promising means
77.1.3,"to improve perceptual , attentional , and cognitive abilities"
77.2.1,One of its promises is
77.2.2,", compared to traditional training , it can be engaging and entertaining"
77.3.1,This has led some companies
77.3.2,to begin
77.3.3,to market video games for the specific purpose of
77.3.4,improving cognition
77.4.1,"For example , Nintendo advertises "" Big Brain Academy "" as a game"
77.4.2,"that """
77.4.3,"trains your brain with a course load of mind - bending activities across five categories : think , memorize , analyze , compute , and identify"
78.1.1,It enables players
78.1.2,to explore various aspects of their identity in a virtual world
79.1.1,"children gain problem solving abilities , perseverance , pattern recognition , hypothesis testing , estimating skills , inductive skills , resources management , logistics mapping , memory , quick thinking and reasonable judgements """
80.1.1,playing video games
80.1.2,contain high levels of action
81.1.1,"Many authors disagree with the notion that suggests that the media can cause violence, they propose media cannot cause violence because humans have the ability to recognize what is wrong, and what is right."
81.2.1,people are not going
81.2.2,to mistake fiction for reality
81.3.1,Some people
81.3.2,criticize the proposed negative effects based their research
82.1.1,J.C. Herz argued
82.1.2,"many so - called negative effects of video games , such as aggression and lack of pro-social behavior , are both necessary and useful traits"
82.1.3,to have in a capitalistic society
82.2.1,"Specifically , Herz argued"
82.2.2,"many academic researchers have an anti-capitalist bias , and thus failed"
82.2.3,to notice the benefits of such traits
83.1.1,they can be a safe outlet for aggression and frustration
